@relation 'mario-weka.filters.unsupervised.attribute.Remove-R2-3,5-6-weka.filters.unsupervised.attribute.Remove-R2_clustered'

@attribute Instance_number numeric
@attribute enemigoDelante {0,1}
@attribute monedaEncima {0,1}
@attribute bloqueEncima {0,1}
@attribute obstaculoDelante {0,1}
@attribute left {Si,No}
@attribute right {Si,No}
@attribute down {Si,No}
@attribute jump {Si,No}
@attribute speed {Si,No}
@attribute up {Si,No}
@attribute Puntuacion+Distancia numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
232,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
233,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
234,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
235,0,0,0,0,No,Si,No,No,No,No,53,cluster0
236,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
237,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
238,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
239,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
240,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
241,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
242,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
243,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
244,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
245,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
246,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
247,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
248,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
249,0,0,1,0,No,Si,No,Si,No,No,103,cluster2
250,0,0,1,0,No,Si,No,Si,No,No,102,cluster2
251,0,0,1,0,No,Si,No,No,No,No,71,cluster2
252,0,0,0,0,No,Si,No,Si,No,No,70,cluster0
253,0,0,0,0,No,Si,No,Si,No,No,70,cluster0
254,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
255,0,1,0,0,No,Si,No,Si,No,No,54,cluster4
256,0,1,0,0,No,Si,No,Si,No,No,55,cluster4
257,0,1,0,0,No,Si,No,Si,No,No,54,cluster4
258,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
259,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
260,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
261,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
262,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
263,0,0,0,0,No,Si,No,Si,No,No,29,cluster0
264,0,0,0,0,No,Si,No,Si,No,No,25,cluster0
265,0,0,0,0,No,Si,No,Si,No,No,22,cluster0
266,0,0,0,0,No,Si,No,Si,No,No,18,cluster0
267,0,0,0,1,No,Si,No,Si,No,No,16,cluster3
268,0,0,0,1,No,Si,No,Si,No,No,13,cluster3
269,0,0,0,1,No,Si,No,No,No,No,16,cluster3
270,0,0,0,1,No,Si,No,Si,No,No,20,cluster3
271,0,0,0,0,No,Si,No,Si,No,No,24,cluster0
272,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
273,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
274,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
275,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
276,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
277,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
278,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
279,0,0,0,0,No,Si,No,Si,No,No,32,cluster0
280,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
281,0,0,0,0,No,Si,No,Si,No,No,25,cluster0
282,0,0,0,0,No,Si,No,Si,No,No,23,cluster0
283,0,0,0,0,No,Si,No,Si,No,No,21,cluster0
284,0,0,0,0,No,Si,No,Si,No,No,19,cluster0
285,0,0,0,1,No,Si,No,No,No,No,18,cluster3
286,0,0,0,1,No,Si,No,Si,No,No,16,cluster3
287,0,0,0,1,No,Si,No,Si,No,No,16,cluster3
288,0,0,0,1,No,Si,No,Si,No,No,20,cluster3
289,0,0,0,0,No,Si,No,Si,No,No,24,cluster0
290,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
291,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
292,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
293,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
294,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
295,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
296,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
297,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
298,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
299,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
300,0,0,0,0,No,Si,No,No,No,No,46,cluster0
301,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
302,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
303,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
304,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
305,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
306,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
307,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
308,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
309,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
310,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
311,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
312,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
313,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
314,0,0,0,0,No,Si,No,Si,No,No,34,cluster0
315,0,0,0,0,No,Si,No,Si,No,No,30,cluster0
316,0,0,0,0,No,Si,No,Si,No,No,26,cluster0
317,0,0,0,0,No,Si,No,Si,No,No,23,cluster0
318,0,0,0,0,No,Si,No,Si,No,No,20,cluster0
319,0,0,0,1,No,Si,No,Si,No,No,18,cluster3
320,0,0,0,1,No,Si,No,No,No,No,15,cluster3
321,0,0,0,1,No,Si,No,Si,No,No,16,cluster3
322,0,0,0,1,No,Si,No,Si,No,No,20,cluster3
323,0,0,0,0,No,Si,No,Si,No,No,24,cluster0
324,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
325,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
326,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
327,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
328,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
329,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
330,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
331,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
332,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
333,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
334,0,0,0,0,No,Si,No,Si,No,No,46,cluster0
335,0,0,0,0,No,Si,No,No,No,No,47,cluster0
336,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
337,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
338,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
339,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
340,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
341,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
342,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
343,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
344,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
345,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
346,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
